zgbh,rq,bcbh
1341038   ,2017/8/26 0:00:00,116
1332763   ,2017/8/26 0:00:00,108
1332758   ,2017/8/26 0:00:00,108
1332940   ,2017/8/26 0:00:00,113
1333046   ,2017/8/26 0:00:00,113
1333084   ,2017/8/26 0:00:00,312
1333116   ,2017/8/26 0:00:00,106
1333136   ,2017/8/26 0:00:00,312
1333143   ,2017/8/26 0:00:00,312
1333119   ,2017/8/26 0:00:00,108
1333174   ,2017/8/26 0:00:00,312
1333175   ,2017/8/26 0:00:00,317
1333181   ,2017/8/26 0:00:00,106
1333187   ,2017/8/26 0:00:00,312
1333188   ,2017/8/26 0:00:00,106
1333193   ,2017/8/26 0:00:00,312
1333205   ,2017/8/26 0:00:00,106
1333216   ,2017/8/26 0:00:00,312
1333249   ,2017/8/26 0:00:00,312
1333278   ,2017/8/26 0:00:00,106
1333309   ,2017/8/26 0:00:00,108
1333332   ,2017/8/26 0:00:00,312
1333080   ,2017/8/26 0:00:00,113
1333087   ,2017/8/26 0:00:00,113
1333088   ,2017/8/26 0:00:00,113
1333109   ,2017/8/26 0:00:00,305
1333160   ,2017/8/26 0:00:00,305
1333171   ,2017/8/26 0:00:00,113
1333177   ,2017/8/26 0:00:00,113
1333178   ,2017/8/26 0:00:00,305
1333208   ,2017/8/26 0:00:00,305
1333211   ,2017/8/26 0:00:00,113
1333251   ,2017/8/26 0:00:00,113
1333256   ,2017/8/26 0:00:00,113
1333269   ,2017/8/26 0:00:00,113
1333272   ,2017/8/26 0:00:00,113
1333283   ,2017/8/26 0:00:00,113
1333290   ,2017/8/26 0:00:00,113
1333294   ,2017/8/26 0:00:00,305
1333299   ,2017/8/26 0:00:00,113
1333305   ,2017/8/26 0:00:00,113
1333316   ,2017/8/26 0:00:00,113
1317557   ,2017/8/26 0:00:00,317
1333163   ,2017/8/26 0:00:00,113
1333059   ,2017/8/26 0:00:00,320
1333063   ,2017/8/26 0:00:00,113
1333238   ,2017/8/26 0:00:00,113
YG5285    ,2017/8/26 0:00:00,317
1333139   ,2017/8/26 0:00:00,113
1333417   ,2017/8/26 0:00:00,108
1333378   ,2017/8/26 0:00:00,108
1333380   ,2017/8/26 0:00:00,317
1333406   ,2017/8/26 0:00:00,317
1333518   ,2017/8/26 0:00:00,108
1333400   ,2017/8/26 0:00:00,317
1333361   ,2017/8/26 0:00:00,305
1333343   ,2017/8/26 0:00:00,108
1333344   ,2017/8/26 0:00:00,108
1333340   ,2017/8/26 0:00:00,126
YG5370    ,2017/8/26 0:00:00,317
1333351   ,2017/8/26 0:00:00,113
1333372   ,2017/8/26 0:00:00,113
1333385   ,2017/8/26 0:00:00,305
1333389   ,2017/8/26 0:00:00,106
1333395   ,2017/8/26 0:00:00,113
1333397   ,2017/8/26 0:00:00,113
1333399   ,2017/8/26 0:00:00,106
1333402   ,2017/8/26 0:00:00,305
1333405   ,2017/8/26 0:00:00,305
1333413   ,2017/8/26 0:00:00,106
1333421   ,2017/8/26 0:00:00,113
1333442   ,2017/8/26 0:00:00,305
1333464   ,2017/8/26 0:00:00,305
1333465   ,2017/8/26 0:00:00,305
1333488   ,2017/8/26 0:00:00,312
1333491   ,2017/8/26 0:00:00,305
1333493   ,2017/8/26 0:00:00,305
1333498   ,2017/8/26 0:00:00,113
1333506   ,2017/8/26 0:00:00,312
1333521   ,2017/8/26 0:00:00,312
1333530   ,2017/8/26 0:00:00,312
1333537   ,2017/8/26 0:00:00,108
1333562   ,2017/8/26 0:00:00,113
1333565   ,2017/8/26 0:00:00,113
