zgbh,icid
1332125   ,1787444107
1332174   ,0035640657
1332206   ,4138483806
1332207   ,2672201211
1332238   ,2674464235
1332338   ,1787310987
1332354   ,1790229435
1332355   ,2673410891
1332387   ,0967514779
1332405   ,2673482683
1332423   ,4131144142
1332436   ,2669313259
1332487   ,3247620723
1332523   ,2675932555
1332555   ,4130622286
1332753   ,1785888011
1332794   ,1788818379
1332795   ,2669702731
1332845   ,2674859499
1333080   ,2673587211
1333095   ,0874997707
1333098   ,3175101972
1333112   ,2756249306
1333145   ,1784483947
1333256   ,0873848523
1333273   ,1782654075
1333371   ,3246367507
1333389   ,4129288398
1333402   ,0968619691
1333420   ,0873354827
1333437   ,0486190171
1333488   ,2674576395
1333505   ,3710882042
1333520   ,0873954907
1334155   ,2675292331
1334192   ,1789385243
1334292   ,0760261210
1334595   ,1768422171
1334596   ,0313209914
1334966   ,4130038238
1335567   ,4134416494
1335625   ,2668024091
1322086   ,1764522203
1323360   ,0973817483
1324710   ,0973839035
1326301   ,3536612062
1326414   ,0968422363
1326531   ,2676075035
1326593   ,1787995307
1326746   ,2667540539
1326764   ,2674742123
1326779   ,1789474155
1326807   ,0867524811
1326971   ,1783500619
1327007   ,2675574715
1327072   ,0866037931
1327122   ,1790337147
1327157   ,1788787227
1327213   ,2674639819
1327281   ,1790131835
1327363   ,2674735067
1327481   ,3074627915
1327607   ,0868170571
1327661   ,1784110427
1327692   ,1787102987
1327711   ,2675192299
1327743   ,1783059819
1327760   ,3248285731
1327761   ,1768567323
1327992   ,1789009771
1328178   ,0869278299
1328428   ,3529421006
1328543   ,4287560382
1328561   ,4288941358
1328596   ,4290068107
1328611   ,0973097835
1328728   ,0870009771
1329103   ,0967622507
1329217   ,3531552158
1329581   ,3528641502
1329613   ,0974594683
1329693   ,3532070350
1329728   ,3528925054
1329859   ,0873632955
1329989   ,0965332155
1330071   ,0973792571
1330085   ,0974036795
1330086   ,1785816363
1330089   ,1768631147
1330103   ,1764876395
1330104   ,1789630715
1330122   ,0967397467
1330149   ,1437550923
1330150   ,2604473787
1330199   ,3203669666
1330232   ,4137966222
1330250   ,2466012656
1330332   ,2674451771
1330392   ,0486693019
1330428   ,3247908787
1330460   ,0973471819
1330510   ,4288329486
1330650   ,1789761243
1330685   ,0758822538
1330732   ,1787356075
1330749   ,0968107547
1330768   ,1786653691
1330785   ,4136388318
1330794   ,1785194139
1330795   ,2675393467
1330813   ,2676467803
1330879   ,1782064875
1330943   ,1761937130
1330994   ,1303030021
1331080   ,1789437595
1336228   ,3531641950
1336629   ,0760469946
1336647   ,2675093771
1337414   ,0762307882
1337418   ,2675028411
1337433   ,4136092814
1337450   ,0485861387
1337451   ,4288495534
1337500   ,2676583611
1337515   ,0486799563
1337600   ,2675429179
1337650   ,2064643040
1337800   ,0867902811
1337833   ,1798546937
1337845   ,3535026238
1337846   ,0966131083
1337877   ,3535401646
1337881   ,3536285630
1313545   ,2669814587
1314912   ,0968828827
1315171   ,3285328385
1315816   ,1763103307
1316434   ,0762280986
1317159   ,3532358734
1317911   ,1786293675
